机构代码		操作员		操作类型		操作日期
051088145		GuoMiaoL  		证书打印  		2013-04-24		
589253958		CaiFuYu   		证书打印  		2013-04-24		
793127406		LinYouTao 		制卡		2013-04-24
L27901063		MaiLing   		变更      		2013-04-24		
589253958		CaiFuYu   		换证      		2013-04-24		
062333679		LiuEnTan  		新增      		2013-04-24		
730076023		LuShaoYun 		年检      		2013-04-24		
708879313		TangXue   		年检      		2013-04-24		
06230339X		MaiLing   		换证      		2013-04-24		
698946913		LinZiXiang		证书打印  		2013-04-24		
698946913		LinZiXiang		变更      		2013-04-24		
793127406		XiaoYun   		IC卡发放  		2013-04-24		
793127406		XiaoYun   		年检      		2013-04-24		
062333652		FengQiong 		变更      		2013-04-24		
201284142		LuShaoYun 		年检      		2013-04-24		
L04384366		MaiLing   		变更      		2013-04-24		
056374327		CaiFuYu   		证书打印  		2013-04-24		
780713473		LinYouTao 		制卡		2013-04-24
201284142		LuShaoYun 		年检      		2013-04-24		
55276843X		TangXue   		年检      		2013-04-24		
793145532		LinYouTao 		制卡		2013-04-24
671054579		XiaoYun   		IC卡发放  		2013-04-24		
671054579		XiaoYun   		年检      		2013-04-24		
676096903		LinYouTao 		制卡		2013-04-24
201284142		LuShaoYun 		年检      		2013-04-24		
056398046		MaiLing   		换证      		2013-04-24		
056374327		CaiFuYu   		换证      		2013-04-24		
284018383		TangXue   		年检      		2013-04-24		
062333660		LinZiXiang		新增      		2013-04-24		
774299966		LuShaoYun 		年检      		2013-04-24		
754376514		XiaoYun   		换证      		2013-04-24		
754376514		XiaoYun   		IC卡发放  		2013-04-24		
754376514		XiaoYun   		IC卡废置  		2013-04-24		
L27901346		MaiLing   		变更      		2013-04-24		
062333652		FengQiong 		证书打印  		2013-04-24		
L19893737		guolili   		证书打印  		2013-04-24		
062331673		guolili   		制卡		2013-04-24
062331673		guolili   		证书打印  		2013-04-24		
562428527		MaiLing   		换证      		2013-04-24		
901244512		LinYouTao 		制卡		2013-04-24
780713473		LuShaoYun 		IC卡发放  		2013-04-24		
780713473		LuShaoYun 		年检      		2013-04-24		
567951931		LiGuiMei  		年检      		2013-04-24		
L19893737		ZengWeiGuo		换证      		2013-04-24		
L19893737		ZengWeiGuo		IC卡发放  		2013-04-24		
L19893737		ZengWeiGuo		IC卡废置  		2013-04-24		
901244512		LinYouTao 		证书打印  		2013-04-24		
062333652		FengQiong 		新增      		2013-04-24		
798717632		TangXue   		年检      		2013-04-24		
062333644		LiGuiMei  		证书打印  		2013-04-24		
L27916601		MaiLing   		变更      		2013-04-24		
062333644		LiGuiMei  		新增      		2013-04-24		
062333636		huangfeng 		证书打印  		2013-04-24		
589259911		guolili   		证书打印  		2013-04-24		
062333636		huangfeng 		新增      		2013-04-24		
698906313		XiaoYun   		年检      		2013-04-24		
573054583		ZengWeiGuo		年检      		2013-04-24		
774299966		LuShaoYun 		年检      		2013-04-24		
708870642		XiaoYun   		年检      		2013-04-24		
557377534		LiMeiXuan 		年检      		2013-04-24		
201242321		LuShaoYun 		年检      		2013-04-24		
676096903		XiaoYun   		IC卡补卡  		2013-04-24		
676096903		XiaoYun   		年检      		2013-04-24		
L56208188		ZengWeiGuo		年检      		2013-04-24		
062333628		MeiJi     		新增      		2013-04-24		
062333628		MeiJi     		IC卡发放  		2013-04-24		
573086147		guolili   		制卡		2013-04-24
589259911		LiMeiXuan 		换证      		2013-04-24		
671067222		TangXue   		年检      		2013-04-24		
573086147		guolili   		证书打印  		2013-04-24		
583900894		ZhouJie   		年检      		2013-04-24		
767457735		XiaoYun   		年检      		2013-04-24		
901244512		LuShaoYun 		申请表修改		2013-04-24		
671079805		guolili   		证书打印  		2013-04-24		
735827922		LiMeiXuan 		年检      		2013-04-24		
06233361X		MeiJi     		新增      		2013-04-24		
06233361X		MeiJi     		IC卡发放  		2013-04-24		
573086147		ZengWeiGuo		IC卡发放  		2013-04-24		
573086147		ZengWeiGuo		变更      		2013-04-24		
901244512		LuShaoYun 		IC卡发放  		2013-04-24		
901244512		LuShaoYun 		变更      		2013-04-24		
698938884		TangXue   		年检      		2013-04-24		
767488443		XiaoYun   		年检      		2013-04-24		
552761000		TangXue   		年检      		2013-04-24		
L56221729		huangfeng 		证书打印  		2013-04-24		
L56221729		huangfeng 		新增      		2013-04-24		
665141481		TangXue   		年检      		2013-04-24		
671079805		WangYunLi 		换证      		2013-04-24		
671053912		LinYouTao 		制卡		2013-04-24
671053912		LinYouTao 		证书打印  		2013-04-24		
294122010		TangXue   		年检      		2013-04-24		
062333601		MeiJi     		新增      		2013-04-24		
062333601		MeiJi     		IC卡发放  		2013-04-24		
620326917		LinYouTao 		制卡		2013-04-24
051092259		guolili   		证书打印  		2013-04-24		
557385198		TangXue   		年检      		2013-04-24		
687260895		LinYouTao 		制卡		2013-04-24
567973444		ZengWeiGuo		年检      		2013-04-24		
793121952		XiaoYun   		年检      		2013-04-24		
68118887X		guolili   		制卡		2013-04-24
68118887X		guolili   		证书打印  		2013-04-24		
687296097		LinYouTao 		制卡		2013-04-24
583928651		LiMeiXuan 		年检      		2013-04-24		
901568293		CaiFuYu   		年检      		2013-04-24		
798733229		ZengWeiGuo		年检      		2013-04-24		
747786152		LinYouTao 		制卡		2013-04-24
L51635981		WangYunLi 		年检      		2013-04-24		
798708146		XiaoYun   		年检      		2013-04-24		
55279534X		LuShaoYun 		年检      		2013-04-24		
774280130		FengQiong 		年检      		2013-04-24		
780715807		LinYouTao 		制卡		2013-04-24
708863004		XiaoYun   		年检      		2013-04-24		
693176112		LinYouTao 		制卡		2013-04-24
721282925		LuShaoYun 		年检      		2013-04-24		
68118887X		LiMeiXuan 		IC卡发放  		2013-04-24		
68118887X		LiMeiXuan 		变更      		2013-04-24		
676058966		TangXue   		年检      		2013-04-24		
676068937		LinYouTao 		制卡		2013-04-24
793145532		XiaoYun   		IC卡发放  		2013-04-24		
793145532		XiaoYun   		年检      		2013-04-24		
L56221710		LinZiXiang		证书打印  		2013-04-24		
L56221710		LinZiXiang		新增      		2013-04-24		
062333599		MeiJi     		新增      		2013-04-24		
062333599		MeiJi     		IC卡发放  		2013-04-24		
786603347		FangQi    		年检      		2013-04-24		
767455262		TangXue   		年检      		2013-04-24		
062333580		huangfeng 		证书打印  		2013-04-24		
693167785		XiaoYun   		年检      		2013-04-24		
062333580		huangfeng 		新增      		2013-04-24		
051092259		LiMeiXuan 		申请表修改		2013-04-24		
L5622169X		FengQiong 		证书打印  		2013-04-24		
051092259		LiMeiXuan 		换证      		2013-04-24		
552751187		FangQi    		年检      		2013-04-24		
062333572		MeiJi     		新增      		2013-04-24		
062333572		MeiJi     		IC卡发放  		2013-04-24		
767472396		LinYouTao 		制卡		2013-04-24
L45370809		GuoMiaoL  		证书打印  		2013-04-24		
698946972		XiaoYun   		年检      		2013-04-24		
583908298		guolili   		制卡		2013-04-24
583908327		guolili   		制卡		2013-04-24
552757343		GuoMiaoL  		年检      		2013-04-24		
767492151		ZengWeiGuo		年检      		2013-04-24		
573080589		LiMeiXuan 		年检      		2013-04-24		
68725513X		WangYunLi 		年检      		2013-04-24		
L56221702		WengLiNa  		新增      		2013-04-24		
767472396		XiaoYun   		IC卡发放  		2013-04-24		
767472396		XiaoYun   		年检      		2013-04-24		
L19857349		GuoMiaoL  		年检      		2013-04-24		
721272719		TangXue   		年检      		2013-04-24		
062333564		MaiLing   		新增      		2013-04-24		
594918336		guolili   		证书打印  		2013-04-24		
L5622169X		FengQiong 		新增      		2013-04-24		
767476629		FangQi    		年检      		2013-04-24		
L32938098		LiMeiXuan 		年检      		2013-04-24		
676057920		GuoMiaoL  		年检      		2013-04-24		
583908327		WangYunLi 		IC卡发放  		2013-04-24		
583908327		WangYunLi 		年检      		2013-04-24		
620387728		guolili   		证书打印  		2013-04-24		
552780340		FangQi    		年检      		2013-04-24		
620387728		LiMeiXuan 		换证      		2013-04-24		
747760622		XuXin     		证书打印  		2013-04-24		
671061584		XiaoYun   		年检      		2013-04-24		
693158790		GuoMiaoL  		年检      		2013-04-24		
747760622		XuXin     		变更      		2013-04-24		
583917071		FangQi    		年检      		2013-04-24		
735823139		TangXue   		年检      		2013-04-24		
730055513		LuShaoYun 		IC卡发放  		2013-04-24		
730055513		LuShaoYun 		年检      		2013-04-24		
062311226		MaiLing   		换证      		2013-04-24		
693158395		GuoMiaoL  		年检      		2013-04-24		
594918336		LiMeiXuan 		换证      		2013-04-24		
676071810		ZengWeiGuo		年检      		2013-04-24		
567979969		FangQi    		年检      		2013-04-24		
798742432		XiaoYun   		年检      		2013-04-24		
567989518		GuoMiaoL  		年检      		2013-04-24		
671053912		LuShaoYun 		换证      		2013-04-24		
671053912		LuShaoYun 		IC卡发放  		2013-04-24		
671053912		LuShaoYun 		IC卡废置  		2013-04-24		
562426011		FangQi    		年检      		2013-04-24		
583943077		XiaoYun   		年检      		2013-04-24		
589286768		ZhouJie   		年检      		2013-04-24		
573067296		FangQi    		年检      		2013-04-24		
780710395		XiaoYun   		年检      		2013-04-24		
681195850		LiuEnTan  		年检      		2013-04-24		
062333556		huangfeng 		证书打印  		2013-04-24		
742595146		ZengWeiGuo		年检      		2013-04-24		
K33419049		XieXiuHua 		证书打印  		2013-04-24		
578721541		GuoMiaoL  		年检      		2013-04-24		
K33419049		XieXiuHua 		换证      		2013-04-24		
062333556		huangfeng 		新增      		2013-04-24		
062333548		MaiLing   		新增      		2013-04-24		
L56221681		WengLiNa  		新增      		2013-04-24		
620326917		LuShaoYun 		IC卡发放  		2013-04-24		
620326917		LuShaoYun 		年检      		2013-04-24		
786646064		ZengWeiGuo		年检      		2013-04-24		
567964353		XiaoYun   		年检      		2013-04-24		
583908298		WangYunLi 		IC卡发放  		2013-04-24		
583908298		WangYunLi 		年检      		2013-04-24		
698944264		ZengWeiGuo		年检      		2013-04-24		
620326917		LuShaoYun 		IC卡发放  		2013-04-24		
620326917		LuShaoYun 		年检      		2013-04-24		
767496136		GuoMiaoL  		年检      		2013-04-24		
L32939517		LiMeiXuan 		变更      		2013-04-24		
573085101		FangQi    		年检      		2013-04-24		
573053636		ZengWeiGuo		年检      		2013-04-24		
687260895		LuShaoYun 		IC卡发放  		2013-04-24		
687260895		LuShaoYun 		年检      		2013-04-24		
793147087		LiuEnTan  		证书打印  		2013-04-24		
671073577		XiaoYun   		年检      		2013-04-24		
589280091		GuoMiaoL  		年检      		2013-04-24		
721267194		LiuEnTan  		证书打印  		2013-04-24		
687260895		LuShaoYun 		年检      		2013-04-24		
562409895		XiaoYun   		年检      		2013-04-24		
557372899		WangYunLi 		年检      		2013-04-24		
573097890		ZengWeiGuo		年检      		2013-04-24		
798725309		LinYouTao 		制卡		2013-04-24
L27923959		FangQi    		年检      		2013-04-24		
L51618305		GuoMiaoL  		年检      		2013-04-24		
780723460		TangXue   		年检      		2013-04-24		
573097890		ZengWeiGuo		年检      		2013-04-24		
578713138		ZhouJie   		年检      		2013-04-24		
L19882739		guolili   		制卡		2013-04-24
557368371		XiaoYun   		年检      		2013-04-24		
L19871757		WengLiNa  		年检      		2013-04-24		
75439793X		LinYouTao 		制卡		2013-04-24
L19882739		guolili   		证书打印  		2013-04-24		
687260000		ZengWeiGuo		年检      		2013-04-24		
552752366		LuShaoYun 		年检      		2013-04-24		
665148114		ZhouJie   		年检      		2013-04-24		
L11945598		XieXiuHua 		证书打印  		2013-04-24		
698916503		GuoMiaoL  		年检      		2013-04-24		
698941071		LiLinJiao 		年检      		2013-04-24		
L56221673		MaiLing   		新增      		2013-04-24		
589269618		guolili   		证书打印  		2013-04-24		
L11945598		XieXiuHua 		换证      		2013-04-24		
742599403		LiLinJiao 		年检      		2013-04-24		
742568842		LiMeiXuan 		年检      		2013-04-24		
578737818		ZengWeiGuo		年检      		2013-04-24		
552752366		LuShaoYun 		年检      		2013-04-24		
L56221665		huangfeng 		证书打印  		2013-04-24		
698939297		GuoMiaoL  		年检      		2013-04-24		
74776958X		LinYouTao 		证书打印  		2013-04-24		
L56221649		FengQiong 		证书打印  		2013-04-24		
L56220486		guolili   		制卡		2013-04-24
L56221665		huangfeng 		新增      		2013-04-24		
754392055		LiMeiXuan 		年检      		2013-04-24		
L56220486		guolili   		证书打印  		2013-04-24		
75439793X		XiaoYun   		IC卡补卡  		2013-04-24		
552752366		LuShaoYun 		年检      		2013-04-24		
589269618		ZengWeiGuo		换证      		2013-04-24		
798725309		TangXue   		IC卡发放  		2013-04-24		
798725309		TangXue   		年检      		2013-04-24		
774275809		FangQi    		年检      		2013-04-24		
793147087		LiuEnTan  		换证      		2013-04-24		
681184588		guolili   		证书打印  		2013-04-24		
75439793X		XiaoYun   		年检      		2013-04-24		
671085746		LuShaoYun 		年检      		2013-04-24		
552754839		ZhouJie   		证书打印  		2013-04-24		
786611638		LinYouTao 		制卡		2013-04-24
L56221657		MeiJi     		新增      		2013-04-24		
L56221657		MeiJi     		IC卡发放  		2013-04-24		
671085746		LuShaoYun 		年检      		2013-04-24		
774287957		LinYouTao 		制卡		2013-04-24
L56221649		FengQiong 		新增      		2013-04-24		
051087249		FangQi    		年检      		2013-04-24		
L56221630		LiLinJiao 		新增      		2013-04-24		
L27931916		YangJinG  		年检      		2013-04-24		
676079409		guolili   		证书打印  		2013-04-24		
L56221622		MaiLing   		新增      		2013-04-24		
L39615224		WangYunLi 		年检      		2013-04-24		
754366914		TangXue   		年检      		2013-04-24		
L19882739		LiMeiXuan 		IC卡发放  		2013-04-24		
L19882739		LiMeiXuan 		变更      		2013-04-24		
062333476		XieXiuHua 		证书打印  		2013-04-24		
74776958X		XiaoYun   		换证      		2013-04-24		
693176112		LuShaoYun 		IC卡发放  		2013-04-24		
693176112		LuShaoYun 		年检      		2013-04-24		
L19891563		XieXiuHua 		年检      		2013-04-24		
567964513		ZengWeiGuo		年检      		2013-04-24		
676079409		FangQi    		换证      		2013-04-24		
284014972		TangXue   		年检      		2013-04-24		
780715807		LuShaoYun 		IC卡发放  		2013-04-24		
780715807		LuShaoYun 		年检      		2013-04-24		
780715807		LuShaoYun 		IC卡发放  		2013-04-24		
780715807		LuShaoYun 		年检      		2013-04-24		
73008236X		guolili   		证书打印  		2013-04-24		
786611638		XiaoYun   		IC卡发放  		2013-04-24		
786611638		XiaoYun   		年检      		2013-04-24		
578748891		LiMeiXuan 		年检      		2013-04-24		
693168956		WangYunLi 		年检      		2013-04-24		
056388729		GuoMiaoL  		证书打印  		2013-04-24		
562435938		ZengWeiGuo		年检      		2013-04-24		
73008236X		FangQi    		换证      		2013-04-24		
284011325		TangXue   		年检      		2013-04-24		
774287957		XiaoYun   		IC卡发放  		2013-04-24		
774287957		XiaoYun   		年检      		2013-04-24		
062318065		MaiLing   		换证      		2013-04-24		
698943827		WangYunLi 		年检      		2013-04-24		
L56218052		GuoMiaoL  		证书打印  		2013-04-24		
062331323		guolili   		制卡		2013-04-24
747786152		LuShaoYun 		IC卡发放  		2013-04-24		
747786152		LuShaoYun 		年检      		2013-04-24		
L45359474		LiMeiXuan 		年检      		2013-04-24		
67605579X		GuoMiaoL  		年检      		2013-04-24		
062331323		guolili   		证书打印  		2013-04-24		
062316158		MaiLing   		换证      		2013-04-24		
552754839		ZhouJie   		换证      		2013-04-24		
665103696		FangQi    		年检      		2013-04-24		
589297096		WuWeiBin  		证书打印  		2013-04-24		
589297096		WuWeiBin  		换证      		2013-04-24		
L56221614		MeiJi     		新增      		2013-04-24		
L56221614		MeiJi     		IC卡发放  		2013-04-24		
687296097		LuShaoYun 		IC卡发放  		2013-04-24		
687296097		LuShaoYun 		年检      		2013-04-24		
721267194		LiuEnTan  		变更      		2013-04-24		
L56221606		LiLinJiao 		证书打印  		2013-04-24		
062302143		MaiLing   		换证      		2013-04-24		
562407152		ZengWeiGuo		年检      		2013-04-24		
051053575		GuoMiaoL  		年检      		2013-04-24		
552756228		FangQi    		年检      		2013-04-24		
06233353X		LinZiXiang		证书打印  		2013-04-24		
L1988112X		guolili   		制卡		2013-04-24
687296097		LuShaoYun 		年检      		2013-04-24		
573066023		WangYunLi 		年检      		2013-04-24		
L1988112X		guolili   		证书打印  		2013-04-24		
X20470712		ZhouJie   		证书打印  		2013-04-24		
671057497		MaiLing   		换证      		2013-04-24		
L32940876		LiLinJiao 		年检      		2013-04-24		
698911294		GuoMiaoL  		年检      		2013-04-24		
713866613		LinYouTao 		证书打印  		2013-04-24		
L32940884		LiLinJiao 		年检      		2013-04-24		
056360400		LiGuiMei  		证书打印  		2013-04-24		
676068937		LuShaoYun 		IC卡发放  		2013-04-24		
676068937		LuShaoYun 		年检      		2013-04-24		
L1988112X		WangYunLi 		换证      		2013-04-24		
L1988112X		WangYunLi 		IC卡发放  		2013-04-24		
L1988112X		WangYunLi 		IC卡废置  		2013-04-24		
06233353X		LinZiXiang		新增      		2013-04-24		
056360400		LiGuiMei  		换证      		2013-04-24		
L56221606		LiLinJiao 		新增      		2013-04-24		
676068937		LuShaoYun 		IC卡发放  		2013-04-24		
676068937		LuShaoYun 		年检      		2013-04-24		
58926936X		guolili   		证书打印  		2013-04-24		
05108286X		GuoMiaoL  		年检      		2013-04-24		
676068937		LuShaoYun 		IC卡发放  		2013-04-24		
676068937		LuShaoYun 		年检      		2013-04-24		
786648481		TangXue   		年检      		2013-04-24		
L19889201		MaiLing   		变更      		2013-04-24		
75438547X		LinYouTao 		制卡		2013-04-24
583900173		FangQi    		年检      		2013-04-24		
786648481		TangXue   		年检      		2013-04-24		
676079150		GuoMiaoL  		年检      		2013-04-24		
747764551		LuShaoYun 		年检      		2013-04-24		
687256917		guolili   		制卡		2013-04-24
693167427		FangQi    		年检      		2013-04-24		
L32929220		WangYunLi 		年检      		2013-04-24		
687256917		guolili   		证书打印  		2013-04-24		
L27902891		MaiLing   		变更      		2013-04-24		
687275114		GuoMiaoL  		年检      		2013-04-24		
687266269		GuoMiaoL  		年检      		2013-04-24		
L27907246		MaiLing   		变更      		2013-04-24		
578732259		FangQi    		年检      		2013-04-24		
713866613		TangXue   		变更      		2013-04-24		
75438547X		LuShaoYun 		IC卡发放  		2013-04-24		
75438547X		LuShaoYun 		年检      		2013-04-24		
68115328X		XiaoYun   		年检      		2013-04-24		
698945179		FangQi    		年检      		2013-04-24		
75438547X		LuShaoYun 		IC卡发放  		2013-04-24		
75438547X		LuShaoYun 		年检      		2013-04-24		
557385630		GuoMiaoL  		年检      		2013-04-24		
L32926791		LiuEnTan  		年检      		2013-04-24		
687256917		WangYunLi 		IC卡发放  		2013-04-24		
687256917		WangYunLi 		变更      		2013-04-24		
L27920344		LiLinJiao 		换证      		2013-04-24		
583918867		XieXiuHua 		证书打印  		2013-04-24		
062333521		WengLiNa  		证书打印  		2013-04-24		
051073453		GuoMiaoL  		年检      		2013-04-24		
786610280		XiaoYun   		年检      		2013-04-24		
681157571		FangQi    		年检      		2013-04-24		
754382252		guolili   		证书打印  		2013-04-24		
713847826		LuShaoYun 		年检      		2013-04-24		
L3290594X		LiLinJiao 		年检      		2013-04-24		
L04379516		LiLinJiao 		换证      		2013-04-24		
578738407		XieXiuHua 		年检      		2013-04-24		
698902400		GuoMiaoL  		年检      		2013-04-24		
573091042		WangYingY 		证书打印  		2013-04-24		
620282117		XiaoYun   		年检      		2013-04-24		
754382252		LiMeiXuan 		换证      		2013-04-24		
552784245		LuShaoYun 		年检      		2013-04-24		
051084371		GuoMiaoL  		年检      		2013-04-24		
594924664		XiaoYun   		年检      		2013-04-24		
062333521		WengLiNa  		新增      		2013-04-24		
552784245		LuShaoYun 		年检      		2013-04-24		
786623532		ZengWeiGuo		年检      		2013-04-24		
L19850075		XieXiuHua 		年检      		2013-04-24		
578728065		huangfeng 		年检      		2013-04-24		
573091042		WangYingY 		换证      		2013-04-24		
062333513		MeiJi     		新增      		2013-04-24		
062333513		MeiJi     		IC卡发放  		2013-04-24		
754361355		XiaoYun   		年检      		2013-04-24		
583939641		FangQi    		年检      		2013-04-24		
75436357X		guolili   		制卡		2013-04-24
557381525		WangXiaoY 		年检      		2013-04-24		
589281094		QiuMingJ  		年检      		2013-04-24		
75436357X		guolili   		证书打印  		2013-04-24		
594927822		FangQi    		年检      		2013-04-24		
L39640577		WangYunLi 		年检      		2013-04-24		
75436357X		FangQi    		IC卡补卡  		2013-04-24		
760377353		XiaoYun   		年检      		2013-04-24		
735836183		LuShaoYun 		年检      		2013-04-24		
901702974		ZhaoJianH 		年检      		2013-04-24		
X20470712		ZhouJie   		换证      		2013-04-24		
75436357X		FangQi    		换证      		2013-04-24		
573056845		QiuMingJ  		年检      		2013-04-24		
583918867		XieXiuHua 		换证      		2013-04-24		
583904852		ZengWeiGuo		年检      		2013-04-24		
721293042		TangXue   		年检      		2013-04-24		
58926936X		LiMeiXuan 		换证      		2013-04-24		
589291807		guolili   		制卡		2013-04-24
589291807		guolili   		证书打印  		2013-04-24		
767499775		TangXue   		年检      		2013-04-24		
793105856		LuShaoYun 		年检      		2013-04-24		
062333505		MeiJi     		新增      		2013-04-24		
062333505		MeiJi     		IC卡发放  		2013-04-24		
578732355		ZengWeiGuo		年检      		2013-04-24		
665125481		LiuEnTan  		年检      		2013-04-24		
557360820		guolili   		证书打印  		2013-04-24		
721268066		LinYouTao 		制卡		2013-04-24
42889229X		huangfeng 		证书打印  		2013-04-24		
L27914710		GuoMiaoL  		证书打印  		2013-04-24		
698931877		ZengWeiGuo		年检      		2013-04-24		
721268066		LinYouTao 		证书打印  		2013-04-24		
42889229X		huangfeng 		换证      		2013-04-24		
562418126		WangYunLi 		年检      		2013-04-24		
562439365		WuWeiBin  		年检      		2013-04-24		
42889229X		huangfeng 		修改已打印记录		2013-04-24		
L56221593		LiLinJiao 		新增      		2013-04-24		
562439269		WuWeiBin  		年检      		2013-04-24		
687253054		XiaoYun   		年检      		2013-04-24		
062328781		ZhouJie   		换证      		2013-04-24		
56243939X		WuWeiBin  		年检      		2013-04-24		
721268066		LuShaoYun 		换证      		2013-04-24		
721268066		LuShaoYun 		IC卡发放  		2013-04-24		
557360820		LiMeiXuan 		换证      		2013-04-24		
056352160		WuWeiBin  		年检      		2013-04-24		
687298762		WangYunLi 		年检      		2013-04-24		
721295101		LiuEnTan  		证书打印  		2013-04-24		
693196404		LuShaoYun 		年检      		2013-04-24		
687273792		ZengWeiGuo		年检      		2013-04-24		
687268766		FangQi    		年检      		2013-04-24		
056354780		WangYunLi 		年检      		2013-04-24		
594931688		guolili   		证书打印  		2013-04-24		
557398108		WuWeiBin  		年检      		2013-04-24		
L56221585		LiLinJiao 		新增      		2013-04-24		
L56221569		GuoMiaoL  		证书打印  		2013-04-24		
55275859X		guolili   		制卡		2013-04-24
552788043		LinYouTao 		制卡		2013-04-24
798703791		LuShaoYun 		年检      		2013-04-24		
55275859X		guolili   		证书打印  		2013-04-24		
594931688		LiMeiXuan 		换证      		2013-04-24		
552788043		LinYouTao 		证书打印  		2013-04-24		
573080028		WuWeiBin  		年检      		2013-04-24		
583928950		FangQi    		年检      		2013-04-24		
056376285		WangYunLi 		年检      		2013-04-24		
798703791		LuShaoYun 		年检      		2013-04-24		
760368254		TangXue   		年检      		2013-04-24		
062333492		WengLiNa  		证书打印  		2013-04-24		
583919907		LiuEnTan  		年检      		2013-04-24		
062332895		guolili   		制卡		2013-04-24
062332895		guolili   		证书打印  		2013-04-24		
562439314		WuWeiBin  		年检      		2013-04-24		
L27926818		XieXiuHua 		证书打印  		2013-04-24		
665113325		LuShaoYun 		年检      		2013-04-24		
665142468		LinYouTao 		制卡		2013-04-24
G50703966		ZhouJie   		证书打印  		2013-04-24		
L27926818		XieXiuHua 		换证      		2013-04-24		
73004315X		XiaoYun   		年检      		2013-04-24		
062331390		guolili   		制卡		2013-04-24
55275859X		FangQi    		IC卡发放  		2013-04-24		
55275859X		FangQi    		变更      		2013-04-24		
062331390		guolili   		证书打印  		2013-04-24		
665142468		LinYouTao 		证书打印  		2013-04-24		
062333492		WengLiNa  		新增      		2013-04-24		
589291807		ZengWeiGuo		IC卡发放  		2013-04-24		
589291807		ZengWeiGuo		变更      		2013-04-24		
557381525		LiMeiXuan 		年检      		2013-04-24		
665142476		LinYouTao 		证书打印  		2013-04-24		
665130037		TangXue   		年检      		2013-04-24		
786632842		LinYouTao 		制卡		2013-04-24
665113325		LuShaoYun 		年检      		2013-04-24		
L56221577		LiLinJiao 		新增      		2013-04-24		
L56219813		GuoMiaoL  		证书打印  		2013-04-24		
L27926818		XieXiuHua 		证书打印  		2013-04-24		
062331390		guolili   		申请表修改		2013-04-24		
552788043		XiaoYun   		IC卡发放  		2013-04-24		
552788043		XiaoYun   		变更      		2013-04-24		
L56221569		GuoMiaoL  		新增      		2013-04-24		
062333484		MeiJi     		新增      		2013-04-24		
062333484		MeiJi     		IC卡发放  		2013-04-24		
L39614520		LiMeiXuan 		年检      		2013-04-24		
665113325		LuShaoYun 		年检      		2013-04-24		
721235547		FangQi    		年检      		2013-04-24		
68726858X		WangYunLi 		年检      		2013-04-24		
698918998		ZengWeiGuo		年检      		2013-04-24		
284091142		LinYouTao 		证书打印  		2013-04-24		
G50703966		ZhouJie   		换证      		2013-04-24		
687260924		LiMeiXuan 		年检      		2013-04-24		
557392283		TangXue   		年检      		2013-04-24		
74779067X		XiaoYun   		年检      		2013-04-24		
062333476		XieXiuHua 		新增      		2013-04-24		
730060902		LiLinJiao 		换证      		2013-04-24		
051052580		guolili   		制卡		2013-04-24
051052580		guolili   		证书打印  		2013-04-24		
552791680		TangXue   		年检      		2013-04-24		
L45354489		WangYunLi 		年检      		2013-04-24		
721295101		LiuEnTan  		换证      		2013-04-24		
687279190		FangQi    		年检      		2013-04-24		
L39614272		LiMeiXuan 		年检      		2013-04-24		
780746718		WangYunLi 		年检      		2013-04-24		
284091142		XiaoYun   		换证      		2013-04-24		
L32907873		ZengWeiGuo		年检      		2013-04-24		
671050922		FangQi    		年检      		2013-04-24		
583947027		guolili   		证书打印  		2013-04-24		
589291508		CaiFuYu   		年检      		2013-04-24		
062333468		MeiJi     		新增      		2013-04-24		
062333468		MeiJi     		IC卡发放  		2013-04-24		
L27904547		WengLiNa  		证书打印  		2013-04-24		
687298316		WangYunLi 		年检      		2013-04-24		
583947027		FangQi    		换证      		2013-04-24		
201303884		ZengWeiGuo		年检      		2013-04-24		
L39643372		LiGuiMei  		证书打印  		2013-04-24		
L39643372		LiGuiMei  		变更      		2013-04-24		
594902334		WangYingY 		证书打印  		2013-04-24		
594928147		guolili   		制卡		2013-04-24
589284578		guolili   		证书打印  		2013-04-24		
X20416919		LiMeiXuan 		年检      		2013-04-24		
562448659		WangYunLi 		年检      		2013-04-24		
562411493		ZengWeiGuo		年检      		2013-04-24		
589271590		guolili   		证书打印  		2013-04-24		
557394078		FangQi    		年检      		2013-04-24		
76747843X		TangXue   		年检      		2013-04-24		
594904807		guolili   		证书打印  		2013-04-24		
671059329		LinYouTao 		制卡		2013-04-24
798733691		LuShaoYun 		年检      		2013-04-24		
589284578		FangQi    		换证      		2013-04-24		
671059329		LinYouTao 		IC卡补卡  		2013-04-24		
573088302		TangXue   		年检      		2013-04-24		
671059329		LinYouTao 		证书打印  		2013-04-24		
594945211		guolili   		制卡		2013-04-24
L51628888		LiMeiXuan 		年检      		2013-04-24		
594945211		guolili   		证书打印  		2013-04-24		
594902334		WangYingY 		换证      		2013-04-24		
786609378		LuShaoYun 		年检      		2013-04-24		
L27904547		WengLiNa  		申请表修改		2013-04-24		
L27904547		WengLiNa  		换证      		2013-04-24		
69890721X		XiaoYun   		年检      		2013-04-24		
29368154X		ZengWeiGuo		年检      		2013-04-24		
L27911966		guolili   		制卡		2013-04-24
L27911966		guolili   		证书打印  		2013-04-24		
L27911966		guolili   		IC卡补卡  		2013-04-24		
730077309		TangXue   		年检      		2013-04-24		
051052580		LiMeiXuan 		IC卡发放  		2013-04-24		
